feature,non_null_pct,mean,std,min,max
relative_strength,90.68946796959827,0.8914921727281973,0.21194944615325018,0.0,4.73469387755102
pr_gap_percent,90.68946796959827,0.10850782727180264,0.21194944615325018,-3.734693877551021,1.0
rolling_best_prev,96.85124864277958,61.73780334454409,52.771293632722035,0.0,294.84000000000003
best_est_1RM,100.0,54.18741386174448,48.93966324004512,0.0,294.84000000000003
volume_28d_avg,92.15526601520087,1010.0505890159751,971.5837962819091,0.0,6041.73
volume_56d_avg,94.54397394136808,1009.5118712816007,953.6176559708449,0.0,5388.57
volume_ratio_28_56,86.50922909880565,1.0028361483815451,0.11677112457236649,0.0,2.0
sessions_since_last_pr,96.85124864277958,13.345291479820627,20.126587063871565,0.0,132.0
days_since_last_pr,81.46036916395222,94.39820059980006,130.05963138791788,1.0,781.0
pr_freq_90d,95.05971769815417,2.0336950314106224,2.6947972123163573,0.0,16.0
training_age_sessions,100.0,43.505700325732896,38.611731866260065,1.0,178.0
training_age_days,100.0,307.59961997828447,242.2694247926778,0.0,954.0
sleep_minutes,44.70684039087948,416.08925318761385,133.47094531805655,0.0,740.0
sleep_7d_avg,44.54397394136808,408.9505034676882,67.46819427316167,130.85714285714286,556.8571428571429
resting_hr,44.10966340933768,72.12061538461539,2.726710538356582,65.0,82.0
hr_7d_avg,44.54397394136808,72.38677925771161,2.816046751965543,65.85714285714286,82.0
hr_baseline_z,43.94679695982627,-0.04316962188726233,1.043260502078068,-2.870042309294909,2.5812683033345323
steps_7d_avg,44.54397394136808,9455.110043237282,1989.021376142479,4741.714285714285,18191.14285714286
