Model,Features,C-index,IBS,MAE,Brier@5,Brier@10,Brier@20,Delta_C-index_vs_Full_Model_C,Delta_IBS_vs_Full_Model_C,Delta_MAE_vs_Full_Model_C
Baseline median,none,0.5,0.11108206416675825,3.455357142857143,0.3622448979591837,0.2785714285714286,0.008849557522123894,-0.3263909117390038,0.03148211898294263,-35.63255986188946
Workout only,training,0.8298863967375474,0.06503755091593763,30.164461766015993,0.14972884084741922,0.17439570554200431,0.11917467601843729,0.0034954849985435743,-0.01456239426787799,-8.923455238730615
Workout + exercise,training + identity,0.8313428488202738,0.06836814146702337,32.67366549229091,0.1545603813979832,0.1815840113308569,0.13023021628249448,0.004951937081269953,-0.011231803716792249,-6.414251512455699
Workout + Fitbit,training + recovery,0.832071074861637,0.07040612521059138,34.05735649898581,0.15066174283934375,0.19254763995154553,0.14397231955621004,0.005680163122633197,-0.009193819973224243,-5.030560505760796
Full Model C,all features,0.8263909117390038,0.07959994518381562,39.08791700474661,0.16281948292220472,0.2156460135380273,0.18009998926269735,0.0,0.0,0.0
Fitbit period workout only,training (date>=2024-11-01),0.8135255850082532,0.07628052241694862,25.57833983941609,0.16724235241515226,0.213050482077356,0.16547093853666653,-0.012865326730750581,-0.003319422766867003,-13.50957716533052
Fitbit period workout + Fitbit,training + recovery (date>=2024-11-01),0.8180891348674628,0.07680485875933579,25.954164546793265,0.1672416313073507,0.21540884629088022,0.16738506375399495,-0.008301776871540989,-0.0027950864244798285,-13.133752457953342
